OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C-AS/90+140h_mean	C/0_mean	LB-AS/90+50h_mean	C/90+140h_mean	LB/90+140h_mean	C-AS/90_mean	LB+LP/30+120h_mean	C/30+120h_mean	LB+LP/90_mean	LB/30+120h_mean	C/90_mean	C-AS/90+50h_mean	LB/30_mean	C/30_mean	LB-AS/90+140h_mean	C/90+50h_mean	taxonomy
New.ReferenceOTU27	39.9298245614	0.000464691980763	0.0028648573499	0.229093146516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.33333333333	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_commune
HQ630971	39.9210526316	0.000466109933347	0.0028648573499	0.22979219714	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ757763	39.9210526316	0.000466109933347	0.0028648573499	0.22979219714	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU0	39.8993710692	0.000469632729819	0.0028648573499	0.231528935801	0.0	0.0	0.0	0.0	0.0	0.0	42.0	95.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU448	39.8993710692	0.000469632729819	0.0028648573499	0.231528935801	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	10.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU553	39.8993710692	0.000469632729819	0.0028648573499	0.231528935801	0.0	0.0	0.0	0.0	0.0	0.0	3.0	25.0	0.0	28.3333333333	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU598	39.8993710692	0.000469632729819	0.0028648573499	0.231528935801	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
FJ210471	39.8921832884	0.00047080628698	0.0028648573499	0.232107499481	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
EU863525	39.881695695	0.000472523717043	0.0028648573499	0.232954192502	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU605	39.881695695	0.000472523717043	0.0028648573499	0.232954192502	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU1452	39.881695695	0.000472523717043	0.0028648573499	0.232954192502	0.0	8.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
HQ630976	39.8685939553	0.000474677781144	0.0028648573499	0.234016146104	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HM487012	39.8685939553	0.000474677781144	0.0028648573499	0.234016146104	0.0	42.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
GQ525954	39.8685939553	0.000474677781144	0.0028648573499	0.234016146104	0.0	11.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Epicoccum; s__Epicoccum_sp_TMS_2011
GU721949	39.8685939553	0.000474677781144	0.0028648573499	0.234016146104	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Epicoccum; s__Epicoccum_sp_TMS_2011
FM178236	39.8685939553	0.000474677781144	0.0028648573499	0.234016146104	0.0	82.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__unidentified; s__unculturedClavicipitaceae
New.CleanUp.ReferenceOTU15	39.8685939553	0.000474677781144	0.0028648573499	0.234016146104	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
