# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/112
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia	0.0	0.00673475429248	0.00163113427548	0.00330547890441	0.00362768200422	0.00285324763852	0.00823201621074	0.00095143098289
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia	0.000500490866042	0.00240526939017	0.00126158041619	0.00174537086693	0.000310058290959	0.00223001265946	0.000949848024316	0.00104350494898
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania	0.0	0.0	0.0	9.75067523426e-06	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Lachancea	0.0	0.0	0.0	4.87533761713e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Nakaseomyces	0.0	2.46694296428e-05	0.0	9.75067523426e-06	0.0	2.92141396436e-05	2.11077338737e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	0.0	0.0	0.00219183668268	0.0	0.0	0.0	1.05538669368e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycodaceae;g__Hanseniaspora	0.000153997189551	0.034734556937	0.00107043186829	0.00726425304952	0.00114721567655	0.00858895705521	0.00191024991557	0.00336069976214
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Zygoascus	0.000494074316477	0.000333037300178	0.00119786423356	0.00138459588326	0.00204638472033	0.00054533060668	0.0	1.53456610143e-05
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__unidentified;f__unidentified;g__unidentified	0.0	0.00584665482534	0.00068813477247	0.00167711614029	0.0037206994915	0.00413866978284	0.0397880783519	0.000782628711732
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__unidentified;g__unidentified	0.0	0.0	0.00273979585335	0.0	3.10058290959e-05	0.0	0.00106594056062	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Pleuroceras	0.0	0.0	0.0	7.80054018741e-05	0.0	0.000155808744766	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Valsaceae;g__Phomopsis	0.0	0.0	0.0	0.000321772282731	0.0	0.000146070698218	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Bionectria	0.0	0.0	0.0	0.0	0.0	4.86902327393e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Cordyceps	0.0	0.0	0.0	2.92520257028e-05	0.0	5.84282792872e-05	0.0	1.53456610143e-05
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	5.13323965171e-05	0.0	0.00123609394314	0.0	0.0	0.0	0.00130867950017	0.0067367451853
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Nomuraea	0.0	0.0	0.0	0.0	0.0	0.0	0.000654339750084	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__unidentified	0.00088548383992	0.00104845075982	0.0	0.000419279035073	0.0	0.000720615444542	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium	8.98316939049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00300774955881
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	3.20827478232e-05	0.00097444247089	0.00373376830247	0.000497284436947	0.00393774029518	0.000652449118707	0.00432708544411	0.00661397989718
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Acremonium	0.58422683786	0.0110025656207	0.0114689128745	0.0113595366479	0.00353466451693	0.00809231668127	0.00463314758528	0.00253203406737
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Cephalosporium	0.0	0.0	0.0	5.85040514056e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Myrothecium	1.28330991293e-05	0.0	0.0	7.80054018741e-05	0.00530199677539	0.000126594605122	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Stachybotrys	0.0	0.0	0.0	0.000107257427577	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Stilbella	0.0	0.0	0.0	0.0	0.0	7.79043723829e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.00676304324113	0.00715413459641	0.00282899850904	0.00803455639303	0.0052709909463	0.0304995617879	0.00544579533941	0.0104350494898
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella	0.000660904605158	0.00168985593053	0.00291820116473	0.00238891543239	0.000465087436438	0.0011588275392	0.000137200270179	0.00280825596563
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neonectria	0.0	0.0	0.0	2.92520257028e-05	0.0	0.0	0.000886524822695	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Volutella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00345277372823
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Haptocillium	0.0	0.000604401026248	0.00118512099703	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified	0.000128330991293	0.000678409315177	2.54864730544e-05	0.000799555369209	3.10058290959e-05	0.00140227870289	0.00097095575819	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Myrmecridium	0.0	0.0	0.0	0.000146260128514	0.0	0.00013633265167	9.49848024316e-05	0.00293102125374
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Plectosphaerellaceae;g__Plectosphaerella	8.98316939049e-05	0.000345372014999	0.0	9.75067523426e-05	0.0	0.000262927256792	0.000717662951706	0.00928412491368
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Ophiostoma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081332003376
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phyllachorales;f__Phyllachoraceae;g__Colletotrichum	7.0582045211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Phialemonium	0.0	0.000345372014999	0.0	0.00306171202356	0.0	0.00054533060668	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000782628711732
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__unidentified;g__unidentified	0.0	0.0	0.0	9.75067523426e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Incertae_sedis;g__Khuskia	0.0	0.0	0.000203891784435	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Incertae_sedis;g__Nigrospora	0.00773194222539	0.00210923623446	1.27432365272e-05	0.00262293163802	0.0	0.00194760930957	0.0	0.00121230722013
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Pestalotiopsis	0.0	0.0	0.0	0.000146260128514	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Truncatella	1.28330991293e-05	0.0	0.0	0.0	0.0	0.0	0.00124535629855	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hyponectriaceae;g__Microdochium	0.0	0.0	0.0	0.0	0.0	0.000331093582627	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__unidentified	0.0	0.0	0.000267607967071	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__unidentified;g__unidentified	0.0	0.0	0.0	6.82547266398e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified;f__unidentified;g__unidentified	0.000519740514736	0.000555062166963	0.0	0.00126758778045	0.0	0.00103223293407	1.05538669368e-05	0.00188751630476
