OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LH + LB/30_mean	C/0_mean	LH + LB/112_mean	C/30_mean	LH/112_mean	LB/30_mean	LB/112_mean	C/112_mean	taxonomy
HQ260278	13.2775250227	0.0656283974133	0.641328943572	1.0	1.66666666667	3.0	0.0	1.0	0.0	0.333333333333	3.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_rugulosa
New.CleanUp.ReferenceOTU789	13.1973684211	0.0674430906897	0.641328943572	1.0	0.0	0.0	0.0	29.0	0.0	0.0	36.0	0.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
GU721592	13.1429752066	0.0687005097529	0.641328943572	1.0	7.66666666667	0.0	0.0	25.0	16.5	17.0	0.0	27.6666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AY394921	13.1355769231	0.0688731813504	0.641328943572	1.0	7.0	0.666666666667	58.3333333333	0.0	0.0	4.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unculturedPhialocephala
HQ260042	13.1214539007	0.0692039047272	0.641328943572	1.0	3.66666666667	0.666666666667	0.0	4.5	0.0	2.33333333333	3.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_rugulosa
GU721432	13.1043758044	0.0696057635576	0.641328943572	1.0	84.0	421.0	100.0	16.5	0.5	35.6666666667	0.0	10.3333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU551	13.024691358	0.071509071154	0.641328943572	1.0	0.0	0.666666666667	0.0	1.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_rugulosa
GQ516044	13.0221932115	0.0715695003255	0.641328943572	1.0	0.0	31.6666666667	0.0	0.0	1.0	0.0	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU27	13.0024096386	0.0720497024051	0.641328943572	1.0	43.3333333333	0.333333333333	25.6666666667	4.0	0.0	25.3333333333	0.0	1.66666666667	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_prolifica
GQ510076	12.9995641562	0.0721190109979	0.641328943572	1.0	0.0	0.0	1.33333333333	0.5	5.0	0.0	4.0	0.666666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__fungal_endophyte_sp_M13_3311
New.CleanUp.ReferenceOTU382	12.9993514916	0.0721241933961	0.641328943572	1.0	0.0	0.0	6.0	2.5	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
New.CleanUp.ReferenceOTU761	12.9993514916	0.0721241933961	0.641328943572	1.0	0.0	0.0	14.3333333333	0.0	7.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ525954	12.9888246628	0.0723811446053	0.641328943572	1.0	0.0	0.0	4.66666666667	1.0	0.0	0.0	2.0	2.33333333333	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Epicoccum; s__Epicoccum_sp_TMS_2011
New.CleanUp.ReferenceOTU34	12.9443284621	0.0734764912508	0.641328943572	1.0	1.0	5.33333333333	0.0	0.0	0.0	0.333333333333	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AM901917	12.9001755706	0.074578271258	0.641328943572	1.0	390.666666667	22.3333333333	255.666666667	396.0	103.5	486.666666667	36.0	459.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
GU174315	12.88957902	0.0748449199699	0.641328943572	1.0	17.6666666667	0.0	0.333333333333	0.0	2.0	12.3333333333	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ260205	12.8867438867	0.0749164092652	0.641328943572	1.0	2.33333333333	1.0	0.0	0.0	0.0	1.66666666667	1.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_rugulosa
New.CleanUp.ReferenceOTU345	12.8306168105	0.076344512914	0.641328943572	1.0	14.0	0.666666666667	10.6666666667	0.0	0.0	4.33333333333	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Phallales; f__Phallaceae; g__Lysurus; s__Lysurus_cruciatus
EU490019	12.7776008493	0.0777161078769	0.641328943572	1.0	0.333333333333	0.0	10.3333333333	0.0	0.5	0.333333333333	5.0	2.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__fungal_sp_SUN3
