OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C/0_mean	S2-3H-LATE/56_mean	C-3H-LATE/56_mean	S2-NS/56_mean	S2-3H/56_mean	C-NS/56_mean	taxonomy
New.CleanUp.ReferenceOTU206	11.9298245614	0.0357621016079	0.160134743866	1.0	1.33333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU213	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU312	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU425	11.9298245614	0.0357621016079	0.160134743866	1.0	1.66666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
New.CleanUp.ReferenceOTU514	11.9298245614	0.0357621016079	0.160134743866	1.0	1.66666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU531	11.9298245614	0.0357621016079	0.160134743866	1.0	1.33333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Ganodermataceae; g__Ganoderma; s__Ganoderma_sp_JM97/56
New.CleanUp.ReferenceOTU541	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU897	11.9298245614	0.0357621016079	0.160134743866	1.0	1.33333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
DQ421212	11.8618652589	0.0367303606496	0.162663025734	1.0	308.666666667	8.25	11.75	215.0	141.0	265.666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
JN395219	11.6944975771	0.0392223321883	0.171810868173	1.0	7.0	0.5	3.25	23.6666666667	11.3333333333	14.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
FM177662	11.6522496831	0.039876292935	0.172797269385	1.0	16.3333333333	0.25	9.75	14.0	5.66666666667	103.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
New.ReferenceOTU10	11.5011574074	0.0423007319639	0.181353138101	1.0	0.0	8.0	0.0	70.6666666667	16.6666666667	25.3333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_intermedia
JN905215	11.4137681159	0.0437660791324	0.185660314635	1.0	0.666666666667	0.0	0.25	3.66666666667	1.33333333333	1.66666666667	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
New.CleanUp.ReferenceOTU623	11.2665139366	0.0463444908616	0.193397657664	1.0	14.3333333333	0.0	0.0	0.333333333333	0.333333333333	1.66666666667	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_prolifica
New.CleanUp.ReferenceOTU896	11.2551235684	0.0465498084204	0.193397657664	1.0	17.0	0.25	0.0	1.0	4.0	1.33333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
New.CleanUp.ReferenceOTU5	11.2230392157	0.0471327769141	0.193433429527	1.0	25.3333333333	1.0	0.0	7.33333333333	3.0	7.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
AY313025	11.2020221535	0.0475183859135	0.193433429527	1.0	5.66666666667	3.75	23.75	74.6666666667	65.6666666667	40.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bullera; s__Bullera_sp_TY_143
DQ279837	11.1644628099	0.0482149342809	0.194306185152	1.0	1312.33333333	2.25	0.5	9.0	19.3333333333	27.3333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ211528	11.0687179487	0.0500344040924	0.197522464914	1.0	4.66666666667	0.0	0.0	0.0	0.0	9.33333333333	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Rhizoscyphus; s__Rhizoscyphus_ericae
New.ReferenceOTU8	11.0660720185	0.0500855936106	0.197522464914	1.0	0.333333333333	0.0	0.0	1.33333333333	0.666666666667	1.33333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AM901803	11.0455958549	0.0504834091467	0.197522464914	1.0	24.0	3.0	0.0	1.0	0.0	0.666666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU70	10.9517948718	0.0523441705368	0.20283366083	1.0	2.33333333333	0.0	0.0	0.0	0.0	1.33333333333	k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mucorales; f__Mucoraceae; g__Mucor; s__Mucor_sp_INBio2559C
New.ReferenceOTU6	10.8145272602	0.0551839295013	0.211801177038	1.0	39.3333333333	0.25	0.0	9.33333333333	20.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_5_TMS_2011
AM901773	10.773836478	0.0560531824139	0.212523985951	1.0	81.6666666667	42.0	6.25	72.6666666667	10.3333333333	66.3333333333	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
GQ510266	10.7565213585	0.0564269640118	0.212523985951	1.0	0.0	0.0	0.25	1.33333333333	0.333333333333	1.33333333333	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
