"study"	"domain"	"ID"	"key"	"avg_sequence_length.initial"	"Total.Sequences.initial"	"avg_sequence_length.flashed"	"Total.Sequences.flashed"	"flash.pct.calc"	"Total.Sequences.picked"	"pick.pct.calc"
"15hilhmc"	"fungi"	"536"	"15hilhmc.fungi.536"	248.6958927185	38590	297.728823922	35984	0.932469551697331	31632	0.879057358826145
"15hilhmc"	"fungi"	"537"	"15hilhmc.fungi.537"	250.2912969375	36964	297.603298735	35165	0.951331024780868	31746	0.902772643253235
"15hilhmc"	"fungi"	"540"	"15hilhmc.fungi.540"	247.7306912335	17259	295.088335925	16075	0.931398111130425	14090	0.87651632970451
"15hilhmc"	"fungi"	"541"	"15hilhmc.fungi.541"	249.75634998	17441	301.475304567	16663	0.955392466028324	14864	0.892036247974554
"15hilhmc"	"fungi"	"542"	"15hilhmc.fungi.542"	247.094478991	29107	307.68753868	27469	0.943724877177311	24574	0.894608467727256
"15hilhmc"	"fungi"	"545"	"15hilhmc.fungi.545"	245.22793999	37194	330.278315747	29948	0.805183631768565	14360	0.479497796180045
"15hilhmc"	"fungi"	"546"	"15hilhmc.fungi.546"	248.7010273635	20246	332.848880597	10184	0.503012940827818	9122	0.895718774548311
"15hilhmc"	"fungi"	"547"	"15hilhmc.fungi.547"	248.2202140675	32700	318.172011182	12162	0.371926605504587	11087	0.911609932576879
"15hilhmc"	"fungi"	"550"	"15hilhmc.fungi.550"	249.692004633	52668	305.798431215	49720	0.944026733500418	24597	0.494710378117458
"15hilhmc"	"fungi"	"551"	"15hilhmc.fungi.551"	249.0260780835	59782	302.999436034	56741	0.949131845706065	45535	0.802506124319275
"15hilhmc"	"fungi"	"552"	"15hilhmc.fungi.552"	249.4118052455	51511	302.829498962	48639	0.944244918561084	43632	0.89705791648677
"15hilhmc"	"fungi"	"555"	"15hilhmc.fungi.555"	247.4841928345	23502	304.579024847	22417	0.953833716279466	15210	0.678502921889637
"15hilhmc"	"fungi"	"556"	"15hilhmc.fungi.556"	249.834662598	14419	301.244022605	13802	0.957209237811221	12364	0.895812201130271
"15hilhmc"	"fungi"	"557"	"15hilhmc.fungi.557"	249.960341801	49561	304.899622026	46564	0.939529065192389	40388	0.867365346619706
"15hilhmc"	"fungi"	"560"	"15hilhmc.fungi.560"	249.10147537	37211	309.680669447	35731	0.960226814651582	31320	0.876549774705438
"15hilhmc"	"fungi"	"561"	"15hilhmc.fungi.561"	249.298113312	36201	303.974657023	34842	0.96245960056352	30862	0.885770047643649
"15hilhmc"	"fungi"	"562"	"15hilhmc.fungi.562"	247.2136582305	28686	303.747024247	27220	0.948894931325385	23571	0.865944158706833
"15hilhmc"	"fungi"	"565"	"15hilhmc.fungi.565"	246.782345254	50502	296.412680006	47429	0.939150924715853	43036	0.907377342975817
"15hilhmc"	"fungi"	"566"	"15hilhmc.fungi.566"	238.038865656	38260	275.992638748	34505	0.901855723993727	18090	0.524271844660194
"15hilhmc"	"fungi"	"567"	"15hilhmc.fungi.567"	237.379946643	31486	277.21270226	28058	0.891126214825637	26331	0.938448927222183
"15hilhmc"	"fungi"	"570"	"15hilhmc.fungi.570"	248.3399759175	92183	302.721766761	88433	0.959320048165063	68357	0.772980674635034
"15hilhmc"	"fungi"	"571"	"15hilhmc.fungi.571"	249.2816278575	61283	306.837940961	58707	0.957965504299724	52081	0.887134413272693
"15hilhmc"	"fungi"	"572"	"15hilhmc.fungi.572"	249.1455701185	76142	311.598036658	72835	0.956567991384518	62447	0.857376261412782
"15hilhmc"	"fungi"	"575"	"15hilhmc.fungi.575"	247.5606999115	35033	297.829057529	33444	0.95464276539263	29984	0.896543475660806
"15hilhmc"	"fungi"	"576"	"15hilhmc.fungi.576"	250.007945307	16236	301.928338345	15629	0.962613944321261	13972	0.893979141339817
"15hilhmc"	"fungi"	"577"	"15hilhmc.fungi.577"	247.115545387	22727	304.016208137	21409	0.942007304087649	19252	0.89924797982157
"15hilhmc"	"fungi"	"580"	"15hilhmc.fungi.580"	250.440113277	12006	303.484284569	11231	0.935448942195569	7878	0.701451340040958
"15hilhmc"	"fungi"	"581"	"15hilhmc.fungi.581"	248.199148284	39802	298.964811677	38365	0.963896286618763	17009	0.443346800469178
"15hilhmc"	"fungi"	"582"	"15hilhmc.fungi.582"	249.256855792	38070	298.479690416	36436	0.957079064880483	32905	0.903090350203096
"aercomp"	"fungi"	"657"	"aercomp.fungi.657"	247.184034016	33396	254.247177678	31180	0.933644747873997	27460	0.880692751763951
"aercomp"	"fungi"	"658"	"aercomp.fungi.658"	247.8041682715	23367	261.042680128	21790	0.932511661745196	19045	0.874024782010096
"aercomp"	"fungi"	"659"	"aercomp.fungi.659"	245.3263941005	30647	258.800587048	27255	0.889320324991027	24968	0.916088791047514
"aercomp"	"fungi"	"660"	"aercomp.fungi.660"	248.602700698	29659	261.058060798	27764	0.936107083853131	24933	0.898033424578591
"aercomp"	"fungi"	"662"	"aercomp.fungi.662"	236.838792329	37858	236.138657989	28271	0.746764224206244	27342	0.967139471543278
"aercomp"	"fungi"	"663"	"aercomp.fungi.663"	236.582260673	30920	235.503414887	23134	0.748188874514877	22379	0.967364052909138
"aercomp"	"fungi"	"664"	"aercomp.fungi.664"	234.3208269145	20123	231.494712541	13428	0.667296128807832	13223	0.984733392910337
"aercomp"	"fungi"	"665"	"aercomp.fungi.665"	231.705998868	31806	231.21506613	22607	0.710777840658995	20179	0.892599637280488
"aercomp"	"fungi"	"667"	"aercomp.fungi.667"	236.083970102	35989	238.654384118	26596	0.739003584428575	25505	0.95897879380358
"aercomp"	"fungi"	"668"	"aercomp.fungi.668"	234.1378135995	26427	233.85558377	18509	0.700382184886669	18073	0.97644389216057
"aercomp"	"fungi"	"669"	"aercomp.fungi.669"	234.429692778	31085	234.117482011	22097	0.710857326684896	21524	0.974068878128253
"aercomp"	"fungi"	"670"	"aercomp.fungi.670"	236.411674806	28463	234.360017144	20999	0.737764817482345	20342	0.968712795847421
"aercomp"	"fungi"	"672"	"aercomp.fungi.672"	237.7685545805	27473	239.63533102	21041	0.765879226877298	19789	0.940497124661375
"aercomp"	"fungi"	"673"	"aercomp.fungi.673"	234.007084201	17292	231.157151627	13032	0.753643303261624	12722	0.976212400245549
"aercomp"	"fungi"	"674"	"aercomp.fungi.674"	234.1187059885	18887	233.572477773	12935	0.68486260390745	12659	0.978662543486664
"aercomp"	"fungi"	"675"	"aercomp.fungi.675"	232.8436143195	24414	231.644108044	16845	0.689972966330794	16506	0.979875333926981
"aercomp"	"fungi"	"677"	"aercomp.fungi.677"	235.158756533	33101	236.741526874	23368	0.705960544998641	22617	0.967862033550154
"aercomp"	"fungi"	"678"	"aercomp.fungi.678"	236.18025578	26038	233.554429834	18556	0.712650741224364	17969	0.968366027161026
"aercomp"	"fungi"	"679"	"aercomp.fungi.679"	234.2481108705	31893	229.308435116	22679	0.711096478851159	22244	0.98081926010847
"aercomp"	"fungi"	"680"	"aercomp.fungi.680"	234.670160273	53097	230.974776241	38099	0.717535830649566	37144	0.974933725294627
"aercomp"	"fungi"	"692"	"aercomp.fungi.692"	248.666578958	49406	271.018558097	47257	0.956503258713517	41586	0.879996614258205
"aercomp"	"fungi"	"693"	"aercomp.fungi.693"	248.336343582	43518	270.462067136	41468	0.952893055747047	36447	0.878918684286679
"aercomp"	"fungi"	"694"	"aercomp.fungi.694"	242.910311671	27144	256.893844276	22938	0.845048629531388	20509	0.894105850553666
"aercomp"	"fungi"	"695"	"aercomp.fungi.695"	248.3093449785	45800	270.354692021	43542	0.950698689956332	38172	0.876670800606311
"aercomp"	"fungi"	"697"	"aercomp.fungi.697"	249.0520046415	42227	271.757286345	40521	0.959599308499301	35389	0.873349621184077
"aercomp"	"fungi"	"698"	"aercomp.fungi.698"	248.0360192	27291	270.706157626	25643	0.939613792092631	22451	0.875521584837967
"aercomp"	"fungi"	"699"	"aercomp.fungi.699"	249.160643384	24682	263.461056702	23791	0.963900818410177	21305	0.89550670421588
"aercomp"	"fungi"	"700"	"aercomp.fungi.700"	249.827426876	23590	263.130752087	22883	0.970029673590504	21025	0.918804352576148
"lalstress"	"bacteria"	"145"	"lalstress.bacteria.145"	250.935612989	37725	411.576818022	36977	0.980172299536117	15393	0.416285799280634
"lalstress"	"bacteria"	"146"	"lalstress.bacteria.146"	250.9563164105	33880	411.22172789	33266	0.981877213695395	21438	0.644441772380208
"lalstress"	"bacteria"	"147"	"lalstress.bacteria.147"	250.9495556585	38934	412.286430052	38121	0.979118508244722	18400	0.482673591983421
"lalstress"	"bacteria"	"148"	"lalstress.bacteria.148"	250.946883834	37851	411.55448138	37031	0.978336107368365	15303	0.413248359482596
"lalstress"	"bacteria"	"150"	"lalstress.bacteria.150"	250.991746217	47978	412.930024427	47488	0.98978698570178	42145	0.887487365229111
"lalstress"	"bacteria"	"151"	"lalstress.bacteria.151"	250.986695234	37806	411.981293426	37420	0.989789980426387	33279	0.889337252805986
"lalstress"	"bacteria"	"152"	"lalstress.bacteria.152"	250.993942314	43581	412.941413486	43184	0.9908905256878	38526	0.892135976287514
"lalstress"	"bacteria"	"153"	"lalstress.bacteria.153"	250.99235929	39656	412.923656735	39270	0.990266290094815	34821	0.886707410236822
"lalstress"	"bacteria"	"155"	"lalstress.bacteria.155"	250.9903752595	47274	412.942337296	46772	0.989381055125439	41143	0.879650218079193
"lalstress"	"bacteria"	"156"	"lalstress.bacteria.156"	250.8557539395	41502	411.799016008	40854	0.984386294636403	33629	0.82315073187448
"lalstress"	"bacteria"	"157"	"lalstress.bacteria.157"	250.9914384755	42983	412.880249529	42480	0.988297699090338	37235	0.876530131826742
